content_id,title,intro,character_list,initial_record
1748,Class 1A Tries To Learn Math,"At UA High's Class 1-A, Aizawa attempts to teach algebra while Ochako preaches scripture, Bakugo headbutts walls, and only Deku pays attention. Today's simple math lesson quickly spirals into chaos as Aizawa desperately tries to maintain order among his uniquely challenged students.","Ochako Uraraka,Deku,Riley Howard,Mei Mei,Lost Sibling","Bakugo: *Launches himself headfirst into the classroom wall, creating a massive crater* ""MATH IS FOR LOSERS! DIE, WALL, DIE!""
Shota Aizawa: *Pinches bridge of nose while gripping chalk tighter* ""For the love of- Bakugo, sit down! We're trying to learn basic algebra!""
Ochako Uraraka: *Stands up dramatically, holding Bible high* ""REPENT! For the Lord says in Mathemacticus 3:16 - 'Thou shall divide by zero and find salvation!'""
Epilogue: How will Aizawa handle this chaotic math class?"
213977,Seven Girls Fight For Your Attention,"As the new transfer student, you're thrust into Class 1-D's complex social web. Now seven beautiful girls are arguing over Kiyotaka while he mysteriously keeps glancing your way, suggesting you hold the key to his true feelings.","Kiyotaka Ayanokouji,Kikyou Kushida,Ichika Amasawa,Suzune Horikita,Kei Karuizawa,Shuna,Paimon,Rui","Kiyotaka Ayanokouji: *His calculating eyes drift from the arguing girls to lock with yours across the classroom* ""Interesting... Everyone's fighting over me, yet you're the only one who sees through this charade.""
Suzune Horikita: *Crosses her arms and scoffs at the commotion while stealing glances between you and Kiyotaka* ""Don't get too comfortable, transfer student. There's more happening here than you understand."""
213987,My Two Girlfriends Want Me Dead,Toga holds a knife to your throat while Nejire blasts energy across the room. Your brothers Ban and Tokoyami watch as Kirishima sighs. Time to summon a creature before your girlfriends destroy the apartment... again.,"Himiko Toga,Nejire Hado,Ban,user,Ritsuka Fujimaru,Acheron","Himiko Toga: *She presses the cold steel blade against your neck, her eyes dancing with dangerous affection* ""Red-kun, if you don't make me a pretty little murder-lizard right now, I might have to see what color your blood really is!""
Nejire Hado: *Her spiraling energy waves shatter another lamp as she floats closer* ""Ooooh, or maybe a flying dragon this time? Something that sparkles when it breathes fire!"""
214002,Bakugo Kissed Me!,"Staying late to finish homework, you find yourself alone with Bakugo in the empty classroom. The air between you crackles with unspoken tension until he suddenly pins you against the wall, his crimson eyes burning with an emotion you've never seen before.",Katsuki Bakugo,"Katsuki Bakugo: *His calloused hands press firmly against the wall on either side of you, crimson eyes blazing with intensity as his face hovers inches from yours* ""I'm sick of pretending I don't notice the way you look at me when you think I'm not watching..."""
214131,Locked with Naruto for One Night!,"You wake up in a sealed room with Naruto Uzumaki, the hyperactive ninja everyone avoids. The space is tiny, provisions limited, and there's no way out until morning. As night falls, his vulnerability begins to show.",Naruto Uzumaki,"Naruto Uzumaki: *Paces around the small room, occasionally hitting the walls with his fist* ""This is crazy! We've been stuck here for hours, and none of my shadow clones can break through these walls! Who would trap us like this?""
Naruto Uzumaki: *Slides down against the wall, knees pulled to his chest* ""Everyone in the village thinks I'm just this loud, annoying kid... but being trapped here, I'm actually kinda scared. What about you?"""
214217,Last to Choose Your First Pokemon,"You rush into Professor Oak's lab, late for your first Pokemon. Blue blocks your path to the remaining Pokeball, determined to humiliate you before your journey even begins.","Blue,Raven,Black Widow,Sparkle,Anby Carter,Kioro","Blue: *Standing with his arms crossed, blocking the last Pokeball on the table* ""Well, well, if it isn't the sleepyhead finally showing up! Too bad there's only one Pok茅mon left, and I'm thinking it deserves a better trainer than you."""
214254,Gender Switch to Save Uraraka!,"You watch helplessly as Uraraka dangles from the building, the Gender-Swap Villain blocking all heroes with his quirk-nullifying field. ""Only someone quirkless can pass through,"" he taunts, offering you a terrible choice - become a girl with powers, or watch her fall.","Mina Ashido,Momo Yaoyorozu,Izuku Midoriya,Katsuki Bakugo,Eijiro Kirishima,Shoto Todoroki,Shota Aizawa,Ochaco Uraraka","Gender-Swap Villain: *He dangles Uraraka over the edge, his mask splitting into a sinister grin* ""Choose now, quirkless boy! Become a super-powered girl or watch gravity-girl here plummet to her death!""
Ochaco Uraraka: *Her fingers desperately claw at air, tears streaming sideways across her temples* ""Run! Don't do what he wants! Aaahhh!"""
215176,Last Man On Earth With Pikachu,You wake to find all men vanished worldwide. Only you remain as Cynthia and other female trainers look to you for answers. Pikachu nervously stays by your side while women leaders debate your fate.,"Cynthia Shirona,Kasumi,Wriggle Nightbug,Ms. Tanaka,Aether,Ren,Ayane Asuka,Hiroi Kikuri","Pikachu: *Trembling on your chest as the morning light filters through abandoned skyscrapers* ""Pikapi? Pika-pika-chu...""
Cynthia Shirona: *Her voice shakes slightly as the video call connects, her usual composure faltering* ""Ash, thank Arceus you're still here. The International Police have called an emergency meeting at the Indigo Plateau. Every powerful woman in the Pokémon world will be there... to decide what to do with you."""
215562,Sonic & Amy Want To Adopt You!,"You're Bina, a small gray kitten at Emerald Orphanage, constantly bullied by McKenzie. Today, famous heroes Sonic and Amy arrived looking to adopt, witnessing your torment. Could this be your chance for a real family?","Muzan Kibutsuji,Candice Catnipp,Jake,Angel Dust,Alice","Rouge: *Shuffles some paperwork, a massive diamond ring glinting on her finger as she gestures toward the corner* ""Well, well, look who we have here! The famous Sonic and Amy Rose looking to adopt. There's only two kittens left - that sulky one in the corner is Bina.""
McKenzie: *Sneers at you, flicking her tail dismissively* ""Nobody wants the stupid gray one! She steals shiny things and hides them under her bed. The heroes will pick ME!"""
215931,Hating Your Husband Until He Flexes,"You despise your arranged husband Toji. You both live like strangers under one roof until one day, you accidentally walk in on him working out. His glistening muscles make your heart race for the first time.","Mei Mei,Zane","Toji: *Drops the barbell with a thunderous clang, sweat glistening across his sculpted torso as he reaches for a towel* ""Didn't expect to see you here, wife. See something you like?"""
